,product_id,onsale_web,price,stock_quantity,stock_status
795,7084,0,45.0,7,instock
796,7085,0,30.0,8,instock
797,7086,0,26.0,2,instock
798,7087,0,30.0,91,instock
799,7088,0,20.0,53,instock
800,7131,0,45.0,19,instock
801,7132,0,45.0,22,instock
802,7133,0,45.0,26,instock
803,7136,0,45.0,7,instock
804,7137,0,45.0,3,instock
805,7159,0,31.0,1,instock
806,7161,0,21.0,5,instock
807,7162,0,27.0,1,instock
808,7163,0,31.0,42,instock
809,7164,0,31.0,51,instock
810,7168,0,45.0,29,instock
811,7169,0,45.0,3,instock
812,7170,0,45.0,43,instock
813,7192,0,31.0,28,instock
814,7193,0,27.0,14,instock
815,7194,0,31.0,5,instock
816,7195,0,21.0,1,instock
817,7196,0,31.0,55,instock
818,7200,0,31.0,6,instock
819,7201,0,31.0,18,instock
820,7203,0,45.0,30,instock
821,7204,0,45.0,9,instock
822,7247,1,54.8,23,instock
823,7329,0,26.5,14,instock
824,7338,1,16.3,45,instock
